left_context,right_context
"I dare say Mr. Knightley will be so kind as to meet him.""","   CHAPTER II   Mr. Weston was a native of Highbury, and born of a respectable family, which for the last two or three generations had been rising into gentility and property."
"But never did she go without Mr. Woodhouse's giving a gentle sigh, and saying,", There was no recovering Miss Taylor--nor much likelihood of ceasing to pity her; but a few weeks brought some alleviation to Mr. Woodhouse.
"Such another small basin of thin gruel as his own was all that he could, with thorough self-approbation, recommend; though he might constrain himself, while the ladies were comfortably clearing the nicer things, to say:"," Emma allowed her father to talk--but supplied her visitors in a much more satisfactory style, and on the present evening had particular pleasure in sending them away happy."
"Emma encouraged her talkativeness--amused by such a picture of another set of beings, and enjoying the youthful simplicity which could speak with so much exultation of Mrs. Martin's having"," For some time she was amused, without thinking beyond the immediate cause; but as she came to understand the family better, other feelings arose."
She was in no hurry at all.," ""And when she had come away, Mrs. Martin was so very kind as to send Mrs. Goddard a beautiful goose--the finest goose Mrs. Goddard had ever seen."
"""You know what you are about."""," ""Mr. Martin, I suppose, is not a man of information beyond the line of his own business?"
"Mrs. Goddard had dressed it on a Sunday, and asked all the three teachers, Miss Nash, and Miss Prince, and Miss Richardson, to sup with her."""," ""Oh yes!--that is, no--I do not know--but I believe he has read a good deal--but not what you would think any thing of."
"He does not read?"""," The next question was--  ""What sort of looking man is Mr."
The next question was--," ""Oh!"
"Martin?"""," ""That may be, and I may have seen him fifty times, but without having any idea of his name."
"He has passed you very often."""," ""To be sure."
"But a farmer can need none of my help, and is, therefore, in one sense, as much above my notice as in every other he is below it."""," ""I have no doubt of his being a very respectable young man."
"It is not likely you should ever have observed him; but he knows you very well indeed--I mean by sight."""," ""He was four-and-twenty the 8th of last June, and my birthday is the 23rd just a fortnight and a day's difference--which is very odd."""
"What do you imagine his age to be?"""," ""Only four-and-twenty."
"""He was four-and-twenty the 8th of last June, and my birthday is the 23rd just a fortnight and a day's difference--which is very odd."""," ""Six years hence!"
"Six years hence, if he could meet with a good sort of young woman in the same rank as his own, with a little money, it might be very desirable."""," ""Well, and that is as early as most men can afford to marry, who are not born to an independence."
"Dear Miss Woodhouse, he would be thirty years old!"""," ""To be sure, so it is."
"Whatever money he might come into when his father died, whatever his share of the family property, it is, I dare say, all afloat, all employed in his stock, and so forth; and though, with diligence and good luck, he may be rich in time, it is next to impossible that he should have realised any thing yet."""," ""I wish you may not get into a scrape, Harriet, whenever he does marry;--I mean, as to being acquainted with his wife--for though his sisters, from a superior education, are not to be altogether objected to, it does not follow that he might marry any body at all fit for you to notice."
"They have no indoors man, else they do not want for any thing; and Mrs. Martin talks of taking a boy another year."""," ""Yes, to be sure, I suppose there are."
"There can be no doubt of your being a gentleman's daughter, and you must support your claim to that station by every thing within your own power, or there will be plenty of people who would take pleasure in degrading you."""," ""You understand the force of influence pretty well, Harriet; but I would have you so firmly established in good society, as to be independent even of Hartfield and Miss Woodhouse."
"But while I visit at Hartfield, and you are so kind to me, Miss Woodhouse, I am not afraid of what any body can do."""," ""To be sure."
"I want to see you permanently well connected, and to that end it will be advisable to have as few odd acquaintance as may be; and, therefore, I say that if you should still be in this country when Mr. Martin marries, I wish you may not be drawn in by your intimacy with the sisters, to be acquainted with the wife, who will probably be some mere farmer's daughter, without education."""," Emma watched her through the fluctuations of this speech, and saw no alarming symptoms of love."
"They remained but a few minutes together, as Miss Woodhouse must not be kept waiting; and Harriet then came running to her with a smiling face, and in a flutter of spirits, which Miss Woodhouse hoped very soon to compose."," ""He is very plain, undoubtedly--remarkably plain:--but that is nothing compared with his entire want of gentility."
"Do you think him so very plain?"""," ""To be sure,"" said Harriet, in a mortified voice, ""he is not so genteel as real gentlemen."""
"I had imagined him, I confess, a degree or two nearer gentility."""," ""I think, Harriet, since your acquaintance with us, you have been repeatedly in the company of some such very real gentlemen, that you must yourself be struck with the difference in Mr. Martin."
"""To be sure,"" said Harriet, in a mortified voice, ""he is not so genteel as real gentlemen."""," ""Certainly, he is not like Mr. Knightley."
"I am sure you must have been struck by his awkward look and abrupt manner, and the uncouthness of a voice which I heard to be wholly unmodulated as I stood here."""," ""Mr. Knightley's air is so remarkably good that it is not fair to compare Mr. Martin with _him_."
"But Mr. Knightley is so very fine a man!"""," ""Oh yes!--there is a great difference."
"You must see the difference."""," ""Which makes his good manners the more valuable."
"Mr. Weston must be between forty and fifty."""," ""There is no saying, indeed,"" replied Harriet rather solemnly."
"Mr. Martin is now awkward and abrupt; what will he be at Mr. Weston's time of life?""",replied Harriet rather solemnly.
"""There is no saying, indeed,"" replied Harriet rather solemnly."," ""Will he, indeed?"
"He will be a completely gross, vulgar farmer, totally inattentive to appearances, and thinking of nothing but profit and loss."""," ""How much his business engrosses him already is very plain from the circumstance of his forgetting to inquire for the book you recommended."
"That will be very bad."""," ""I wonder he did not remember the book""--was all Harriet's answer, and spoken with a degree of grave displeasure which Emma thought might be safely left to itself."
"And I have no doubt that he _will_ thrive, and be a very rich man in time--and his being illiterate and coarse need not disturb _us_.""","-was all Harriet's answer, and spoken with a degree of grave displeasure which Emma thought might be safely left to itself."
"Her next beginning was,"," She then repeated some warm personal praise which she had drawn from Mr. Elton, and now did full justice to; and Harriet blushed and smiled, and said she had always thought Mr. Elton very agreeable."
CHAPTER V," ""A bad thing!"
"CHAPTER V   ""I do not know what your opinion may be, Mrs. Weston,"" said Mr. Knightley, ""of this great intimacy between Emma and Harriet Smith, but I think it a bad thing."""," ""I think they will neither of them do the other any good."""
"Do you really think it a bad thing?--why so?"""," ""You surprize me!"
"""I think they will neither of them do the other any good."""," ""Perhaps you think I am come on purpose to quarrel with you, knowing Weston to be out, and that you must still fight your own battle."""
"Knightley."""," ""Mr. Weston would undoubtedly support me, if he were here, for he thinks exactly as I do on the subject."
"""Perhaps you think I am come on purpose to quarrel with you, knowing Weston to be out, and that you must still fight your own battle."""," ""Emma has been meaning to read more ever since she was twelve years old."
"She means it, I know."""," ""I dare say,"" replied Mrs. Weston, smiling, ""that I thought so _then_;--but since we have parted, I can never remember Emma's omitting to do any thing I wished."""
"Where Miss Taylor failed to stimulate, I may safely affirm that Harriet Smith will do nothing.--You never could persuade her to read half so much as you wished.--You know you could not."""," ""There is hardly any desiring to refresh such a memory as _that_,""--said Mr. Knightley, feelingly; and for a moment or two he had done."
"""I dare say,"" replied Mrs. Weston, smiling, ""that I thought so _then_;--but since we have parted, I can never remember Emma's omitting to do any thing I wished.""","-said Mr. Knightley, feelingly; and for a moment or two he had done."
"""There is hardly any desiring to refresh such a memory as _that_,""--said Mr. Knightley, feelingly; and for a moment or two he had done."," ""I should have been sorry, Mr. Knightley, to be dependent on _your_ recommendation, had I quitted Mr. Woodhouse's family and wanted another situation; I do not think you would have spoken a good word for me to any body."
"She inherits her mother's talents, and must have been under subjection to her."""," ""Yes,"" said he, smiling."
"I am sure you always thought me unfit for the office I held."""," ""Thank you."
"You might not give Emma such a complete education as your powers would seem to promise; but you were receiving a very good education from _her_, on the very material matrimonial point of submitting your own will, and doing as you were bid; and if Weston had asked me to recommend him a wife, I should certainly have named Miss Taylor."""," ""Why, to own the truth, I am afraid you are rather thrown away, and that with every disposition to bear, there will be nothing to be borne."
"Weston."""," ""I hope not _that_.--It is not likely."
"Weston may grow cross from the wantonness of comfort, or his son may plague him."""," ""Not I, indeed."
"No, Mr. Knightley, do not foretell vexation from that quarter."""," ""I either depend more upon Emma's good sense than you do, or am more anxious for her present comfort; for I cannot lament the acquaintance."
"I am much mistaken if Emma's doctrines give any strength of mind, or tend at all to make a girl adapt herself rationally to the varieties of her situation in life.--They only give a little polish."""," ""Oh!"
"How well she looked last night!"""," ""Pretty!"
"Very well; I shall not attempt to deny Emma's being pretty."""," ""I do not know what I could imagine, but I confess that I have seldom seen a face or figure more pleasing to me than hers."
"Can you imagine any thing nearer perfect beauty than Emma altogether--face and figure?"""," ""Such an eye!--the true hazle eye--and so brilliant!"
"But I am a partial old friend."""," ""I have not a fault to find with her person,"" he replied."
"Mr. Knightley, is not she?"""," ""And I, Mr. Knightley, am equally stout in my confidence of its not doing them any harm."
"Mrs. Weston, I am not to be talked out of my dislike of Harriet Smith, or my dread of its doing them both harm."""," ""Very well; I will not plague you any more."
"No, no; she has qualities which may be trusted; she will never lead any one really wrong; she will make no lasting blunder; where Emma errs once, she is in the right a hundred times."""," ""I know that you all love her really too well to be unjust or unkind; but excuse me, Mr. Knightley, if I take the liberty (I consider myself, you know, as having somewhat of the privilege of speech that Emma's mother might have had) the liberty of hinting that I do not think any possible good can arise from Harriet Smith's intimacy being made a matter of much discussion among you."
"I am sure of having their opinions with me."""," ""Not at all,"" cried he; ""I am much obliged to you for it."
"It has been so many years my province to give advice, that you cannot be surprized, Mr. Knightley, at this little remains of office."""," ""Mrs. John Knightley is easily alarmed, and might be made unhappy about her sister."""
"It is very good advice, and it shall have a better fate than your advice has often found; for it shall be attended to."""," ""Be satisfied,"" said he, ""I will not raise any outcry."
"""Mrs. John Knightley is easily alarmed, and might be made unhappy about her sister."""," ""So do I,"" said Mrs. Weston gently, ""very much."""
"I wonder what will become of her!"""," ""She always declares she will never marry, which, of course, means just nothing at all."
"""So do I,"" said Mrs. Weston gently, ""very much."""," ""There does, indeed, seem as little to tempt her to break her resolution at present,"" said Mrs. Weston, ""as can well be; and while she is so happy at Hartfield, I cannot wish her to be forming any attachment which would be creating such difficulties on poor Mr. Woodhouse's account."
"But there is nobody hereabouts to attach her; and she goes so seldom from home."""," Part of her meaning was to conceal some favourite thoughts of her own and Mr. Weston's on the subject, as much as possible."
"There were wishes at Randalls respecting Emma's destiny, but it was not desirable to have them suspected; and the quiet transition which Mr. Knightley soon afterwards made to",convinced her that he had nothing more to say or surmise about Hartfield.
"His perception of the striking improvement of Harriet's manner, since her introduction at Hartfield, was not one of the least agreeable proofs of his growing attachment."," ""I am glad you think I have been useful to her; but Harriet only wanted drawing out, and receiving a few, very few hints."
"She was a beautiful creature when she came to you, but, in my opinion, the attractions you have added are infinitely superior to what she received from nature."""," ""If it were admissible to contradict a lady,"" said the gallant Mr. Elton--  ""I have perhaps given her a little more decision of character, have taught her to think on points which had not fallen in her way before."""
"I have done very little.""","said the gallant Mr. Elton--  ""I have perhaps given her a little more decision of character, have taught her to think on points which had not fallen in her way before."""
"""If it were admissible to contradict a lady,"" said the gallant Mr. Elton--"," ""Exactly so; that is what principally strikes me."
"""If it were admissible to contradict a lady,"" said the gallant Mr. Elton--  ""I have perhaps given her a little more decision of character, have taught her to think on points which had not fallen in her way before."""," ""Great has been the pleasure, I am sure."
"Skilful has been the hand!"""," ""I have no doubt of it."""
"I never met with a disposition more truly amiable.""","And it was spoken with a sort of sighing animation, which had a vast deal of the lover."
"She was not less pleased another day with the manner in which he seconded a sudden wish of hers, to have Harriet's picture."," Harriet was on the point of leaving the room, and only stopt to say, with a very interesting naivete,  ""Oh!"
"Harriet was on the point of leaving the room, and only stopt to say, with a very interesting naivete,"," No sooner was she out of sight, than Emma exclaimed,  ""What an exquisite possession a good picture of her would be!"
"No sooner was she out of sight, than Emma exclaimed,"," ""Let me entreat you,"" cried Mr. Elton; ""it would indeed be a delight!"
"It would be such a delight to have her picture!"""," Yes, good man!--thought Emma--but what has all that to do with taking likenesses?"
Keep your raptures for Harriet's face.," ""Exactly so--The shape of the eye and the lines about the mouth--I have not a doubt of your success."
"Harriet's features are very delicate, which makes a likeness difficult; and yet there is a peculiarity in the shape of the eye and the lines about the mouth which one ought to catch."""," ""But I am afraid, Mr. Elton, Harriet will not like to sit."
"As you will do it, it will indeed, to use your own words, be an exquisite possession."""," ""Oh!"
"How completely it meant, 'why should my picture be drawn?'"""," Harriet was soon back again, and the proposal almost immediately made; and she had no scruples which could stand many minutes against the earnest pressing of both the others."
A likeness pleases every body; and Miss Woodhouse's performances must be capital.," Mr. Elton seemed very properly struck and delighted by the idea, and was repeating, ""No husbands and wives in the case at present indeed, as you observe."
"Mr. Elton seemed very properly struck and delighted by the idea, and was repeating,","with so interesting a consciousness, that Emma began to consider whether she had not better leave them together at once."
"Harriet was to sit again the next day; and Mr. Elton, just as he ought, entreated for the permission of attending and reading to them again."," The same civilities and courtesies, the same success and satisfaction, took place on the morrow, and accompanied the whole progress of the picture, which was rapid and happy."
"Every body who saw it was pleased, but Mr. Elton was in continual raptures, and defended it through every criticism."," ""Do you think so?"""
"It is the fault of her face that she has them not."""," ""You have made her too tall, Emma,"" said Mr. Knightley."
"We must allow for the effect of shade, you know.""",said Mr. Knightley.
"Emma knew that she had, but would not own it; and Mr. Elton warmly added,"," ""It is very pretty,"" said Mr. Woodhouse."
"Exactly so indeed!"""," ""But, my dear papa, it is supposed to be summer; a warm day in summer."
"The only thing I do not thoroughly like is, that she seems to be sitting out of doors, with only a little shawl over her shoulders--and it makes one think she must catch cold."""," ""But it is never safe to sit out of doors, my dear."""
"Look at the tree."""," ""You, sir, may say any thing,"" cried Mr. Elton, ""but I must confess that I regard it as a most happy thought, the placing of Miss Smith out of doors; and the tree is touched with such inimitable spirit!"
"""But it is never safe to sit out of doors, my dear.""", The next thing wanted was to get the picture framed; and here were a few difficulties.
"Mr. Elton was to take the drawing to London, chuse the frame, and give the directions; and Emma thought she could so pack it as to ensure its safety without much incommoding him, while he seemed mostly fearful of not being incommoded enough.","said he with a tender sigh, as he received it."
"And he wrote as if he really loved her very much--but she did not know--and so, she was come as fast as she could to ask Miss Woodhouse what she should do.--"" Emma was half-ashamed of her friend for seeming so pleased and so doubtful."," ""Will you read the letter?"""
"He will connect himself well if he can.""", Emma was not sorry to be pressed.
"She paused over it, while Harriet stood anxiously watching for her opinion, with a","and was at last forced to add, ""Is it a good letter?"
"She paused over it, while Harriet stood anxiously watching for her opinion, with a ""Well, well,"" and was at last forced to add,"," ""Yes, indeed, a very good letter,"" replied Emma rather slowly--""so good a letter, Harriet, that every thing considered, I think one of his sisters must have helped him."
"or is it too short?"""," ""Well,"" said the still waiting Harriet;--""well--and--and what shall I do?"""
"A better written letter, Harriet (returning it,) than I had expected."""," ""What shall you do!"
"""Well,"" said the still waiting Harriet;--""well--and--and what shall I do?"""," ""Yes."""
"Do you mean with regard to this letter?"""," ""But what are you in doubt of?"
"""Yes."""," ""Yes."
"You must answer it of course--and speedily."""," ""Oh no, no!"
"Dear Miss Woodhouse, do advise me."""," ""You think I ought to refuse him then,"" said Harriet, looking down."
"You need not be prompted to write with the appearance of sorrow for his disappointment.""","said Harriet, looking down."
"""You think I ought to refuse him then,"" said Harriet, looking down.", Harriet was silent.
"With a little reserve of manner, Emma continued:"," ""No, I do not; that is, I do not mean--What shall I do?"
"With a little reserve of manner, Emma continued:  ""You mean to return a favourable answer, I collect."""," ""I shall not give you any advice, Harriet."
"Pray, dear Miss Woodhouse, tell me what I ought to do."""," ""I had no notion that he liked me so very much,"" said Harriet, contemplating the letter."
"This is a point which you must settle with your feelings.""","said Harriet, contemplating the letter."
"For a little while Emma persevered in her silence; but beginning to apprehend the bewitching flattery of that letter might be too powerful, she thought it best to say,"," ""Oh!"
"But do not imagine that I want to influence you."""," ""Not for the world,"" said Emma, smiling graciously, ""would I advise you either way."
"no, I am sure you are a great deal too kind to--but if you would just advise me what I had best do--No, no, I do not mean that--As you say, one's mind ought to be quite made up--One should not be hesitating--It is a very serious thing.--It will be safer to say 'No,' perhaps.--Do you think I had better say 'No?'"""," The symptoms were favourable.--Instead of answering, Harriet turned away confused, and stood thoughtfully by the fire; and though the letter was still in her hand, it was now mechanically twisted about without regard."
"At last, with some hesitation, Harriet said--"," ""Perfectly, perfectly right, my dearest Harriet; you are doing just what you ought."
"Do you think I am right?"""," Harriet had not surmised her own danger, but the idea of it struck her forcibly."
"Harriet had not surmised her own danger, but the idea of it struck her forcibly."," ""Indeed, Harriet, it would have been a severe pang to lose you; but it must have been."
"That would have been too dreadful!--What an escape!--Dear Miss Woodhouse, I would not give up the pleasure and honour of being intimate with you for any thing in the world."""," ""Dear me!--How should I ever have borne it!"
"I must have given you up."""," ""Dear affectionate creature!--_You_ banished to Abbey-Mill Farm!--_You_ confined to the society of the illiterate and vulgar all your life!"
"It would have killed me never to come to Hartfield any more!"""," ""I do not think he is conceited either, in general,"" said Harriet, her conscience opposing such censure; ""at least, he is very good natured, and I shall always feel much obliged to him, and have a great regard for--but that is quite a different thing from--and you know, though he may like me, it does not follow that I should--and certainly I must confess that since my visiting here I have seen people--and if one comes to compare them, person and manners, there is no comparison at all, _one_ is so very handsome and agreeable."
"He must have a pretty good opinion of himself."""," ""Thank you, thank you, my own sweet little friend."
"However, I do really think Mr. Martin a very amiable young man, and have a great opinion of him; and his being so much attached to me--and his writing such a letter--but as to leaving you, it is what I would not do upon any consideration."""," ""Oh no;--and it is but a short letter too."""
"A woman is not to marry a man merely because she is asked, or because he is attached to her, and can write a tolerable letter."""," Emma felt the bad taste of her friend, but let it pass with a ""very true; and it would be a small consolation to her, for the clownish manner which might be offending her every hour of the day, to know that her husband could write a good letter."""
"Emma felt the bad taste of her friend, but let it pass with a ""very true; and it would be a small consolation to her, for the clownish manner which might be offending her every hour of the day, to know that her husband could write a good letter."""," Emma assured her there would be no difficulty in the answer, and advised its being written directly, which was agreed to, in the hope of her assistance; and though Emma continued to protest against any assistance being wanted, it was in fact given in the formation of every sentence."
"She was rather low all the evening, but Emma could allow for her amiable regrets, and sometimes relieved them by speaking of her own affection, sometimes by bringing forward the idea of Mr. Elton.",was said in rather a sorrowful tone.
"""I shall never be invited to Abbey-Mill again,"" was said in rather a sorrowful tone."," ""And I am sure I should never want to go there; for I am never happy but at Hartfield."""
"You are a great deal too necessary at Hartfield to be spared to Abbey-Mill."""," Some time afterwards it was, ""I think Mrs. Goddard would be very much surprized if she knew what had happened."
"Some time afterwards it was,"," ""One should be sorry to see greater pride or refinement in the teacher of a school, Harriet."
"I am sure Miss Nash would--for Miss Nash thinks her own sister very well married, and it is only a linen-draper."""," Harriet blushed and smiled, and said something about wondering that people should like her so much."
"The idea of Mr. Elton was certainly cheering; but still, after a time, she was tender-hearted again towards the rejected Mr. Martin."," ""Let us think of those among our absent friends who are more cheerfully employed,"" cried Emma."
"I hope he will not mind it so very much."""," ""My picture!--But he has left my picture in Bond-street."""
"""At this moment, perhaps, Mr. Elton is shewing your picture to his mother and sisters, telling how much more beautiful is the original, and after being asked for it five or six times, allowing them to hear your name, your own dear name."""," ""Has he so!--Then I know nothing of Mr. Elton."
"""My picture!--But he has left my picture in Bond-street."""," Harriet smiled again, and her smiles grew stronger."
"Mr. Knightley, who had nothing of ceremony about him, was offering by his short, decided answers, an amusing contrast to the protracted apologies and civil hesitations of the other."," ""My dear sir, do not make a stranger of me."""
"We invalids think we are privileged people."""," ""I leave an excellent substitute in my daughter."
"""My dear sir, do not make a stranger of me."""," ""You cannot do better, sir."""
"And therefore I think I will beg your excuse and take my three turns--my winter walk."""," ""I would ask for the pleasure of your company, Mr. Knightley, but I am a very slow walker, and my pace would be tedious to you; and, besides, you have another long walk before you, to Donwell Abbey."""
"""You cannot do better, sir."""," ""Thank you, sir, thank you; I am going this moment myself; and I think the sooner _you_ go the better."
"""I would ask for the pleasure of your company, Mr. Knightley, but I am a very slow walker, and my pace would be tedious to you; and, besides, you have another long walk before you, to Donwell Abbey."""," Mr. Woodhouse at last was off; but Mr. Knightley, instead of being immediately off likewise, sat down again, seemingly inclined for more chat."
"He began speaking of Harriet, and speaking of her with more voluntary praise than Emma had ever heard before."," ""I am glad you think so; and the good hands, I hope, may not be wanting."""
"Her character depends upon those she is with; but in good hands she will turn out a valuable woman."""," ""Come,"" said he, ""you are anxious for a compliment, so I will tell you that you have improved her."
"""I am glad you think so; and the good hands, I hope, may not be wanting."""," ""Thank you."
"You have cured her of her school-girl's giggle; she really does you credit."""," ""You are expecting her again, you say, this morning?"""
"_You_ do not often overpower me with it."""," ""Almost every moment."
"""You are expecting her again, you say, this morning?"""," ""Something has happened to delay her; some visitors perhaps."""
"She has been gone longer already than she intended."""," ""Highbury gossips!--Tiresome wretches!"""
"""Something has happened to delay her; some visitors perhaps."""," ""Harriet may not consider every body tiresome that you would."""
"""Highbury gossips!--Tiresome wretches!"""," Emma knew this was too true for contradiction, and therefore said nothing."
"He presently added, with a smile,"," ""Indeed!"
"He presently added, with a smile,  ""I do not pretend to fix on times or places, but I must tell you that I have good reason to believe your little friend will soon hear of something to her advantage."""," ""A very serious sort, I assure you;"" still smiling."
"of what sort?""",still smiling.
"""A very serious sort, I assure you;"" still smiling.", Emma was more than half in hopes of Mr. Elton's having dropt a hint.
"Mr. Knightley was a sort of general friend and adviser, and she knew Mr. Elton looked up to him."," ""He is very obliging,"" said Emma; ""but is he sure that Harriet means to marry him?"""
"He is desperately in love and means to marry her."""," ""Well, well, means to make her an offer then."
"""He is very obliging,"" said Emma; ""but is he sure that Harriet means to marry him?"""," ""Pray, Mr. Knightley,"" said Emma, who had been smiling to herself through a great part of this speech, ""how do you know that Mr. Martin did not speak yesterday?"""
"Now, as we may fairly suppose, he would not allow much time to pass before he spoke to the lady, and as he does not appear to have spoken yesterday, it is not unlikely that he should be at Mrs. Goddard's to-day; and she may be detained by a visitor, without thinking him at all a tiresome wretch."""," ""Certainly,"" replied he, surprized, ""I do not absolutely know it; but it may be inferred."
"""Pray, Mr. Knightley,"" said Emma, who had been smiling to herself through a great part of this speech, ""how do you know that Mr. Martin did not speak yesterday?"""," ""Come,"" said she, ""I will tell you something, in return for what you have told me."
"Was not she the whole day with you?"""," This was obliged to be repeated before it could be believed; and Mr. Knightley actually looked red with surprize and displeasure, as he stood up, in tall indignation, and said,  ""Then she is a greater simpleton than I ever believed her."
"This was obliged to be repeated before it could be believed; and Mr. Knightley actually looked red with surprize and displeasure, as he stood up, in tall indignation, and said,"," ""Oh!"
"What is the foolish girl about?"""," ""Nonsense!"
"A man always imagines a woman to be ready for any body who asks her."""," ""I saw her answer!--nothing could be clearer."""
"madness, if it is so; but I hope you are mistaken."""," ""You saw her answer!--you wrote her answer too."
"""I saw her answer!--nothing could be clearer."""," ""And if I did, (which, however, I am far from allowing) I should not feel that I had done wrong."
"You persuaded her to refuse him."""," ""Not Harriet's equal!"""
"It is a pity that they were ever got over."""," ""I cannot help wondering at your knowing so little of Emma as to say any such thing."
"I remember saying to myself, 'Even Emma, with all her partiality for Harriet, will think this a good match.'"""," ""A degradation to illegitimacy and ignorance, to be married to a respectable, intelligent gentleman-farmer!"""
"They would be estimated very differently by others as well as myself; Mr. Martin may be the richest of the two, but he is undoubtedly her inferior as to rank in society.--The sphere in which she moves is much above his.--It would be a degradation."""," ""As to the circumstances of her birth, though in a legal sense she may be called Nobody, it will not hold in common sense."
"""A degradation to illegitimacy and ignorance, to be married to a respectable, intelligent gentleman-farmer!"""," ""Whoever might be her parents,"" said Mr. Knightley, ""whoever may have had the charge of her, it does not appear to have been any part of their plan to introduce her into what you would call good society."
"She is not to pay for the offence of others, by being held below the level of those with whom she is brought up.--There can scarcely be a doubt that her father is a gentleman--and a gentleman of fortune.--Her allowance is very liberal; nothing has ever been grudged for her improvement or comfort.--That she is a gentleman's daughter, is indubitable to me; that she associates with gentlemen's daughters, no one, I apprehend, will deny.--She is superior to Mr. Robert Martin.""", It was most convenient to Emma not to make a direct reply to this assertion; she chose rather to take up her own line of the subject again.
It was most convenient to Emma not to make a direct reply to this assertion; she chose rather to take up her own line of the subject again.," ""Upon my word, Emma, to hear you abusing the reason you have, is almost enough to make me think so too."
