left_context,right_context
"poor Miss Taylor! 'Tis a sad business.""","poor Miss Taylor.' I have a great regard for you and Emma; but when it comes to the question of dependence or independence!--At any rate, it must be better to have only one to please than two."""
"'Tis a sad business."" ""Poor Mr. and Miss Woodhouse, if you please; but I cannot possibly say 'poor Miss Taylor.'"," ""Especially when _one_ of those two is such a fanciful, troublesome creature!"" said Emma playfully."
"""Poor Mr. and Miss Woodhouse, if you please; but I cannot possibly say 'poor Miss Taylor.' I have a great regard for you and Emma; but when it comes to the question of dependence or independence!--At any rate, it must be better to have only one to please than two."""," ""I believe it is very true, my dear, indeed,"" said Mr. Woodhouse, with a sigh. ""I am afraid I am sometimes very fanciful and troublesome."""
"said Emma playfully. ""That is what you have in your head, I know--and what you would certainly say if my father were not by."""," ""My dearest papa! You do not think I could mean _you_, or suppose Mr. Knightley to mean _you_."
"""I believe it is very true, my dear, indeed,"" said Mr. Woodhouse, with a sigh. ""I am afraid I am sometimes very fanciful and troublesome."""," Mr. Knightley, in fact, was one of the few people who could see faults in Emma Woodhouse, and the only one who ever told her of them: and though this was not particularly agreeable to Emma herself, she knew it would be so much less so to her father, that she would not have him really suspect such a circumstance as her not being thought perfect by every body. ""Emma knows I never flatter her,"" said Mr. Knightley, ""but I meant no reflection on any body."
"We always say what we like to one another."" Mr. Knightley, in fact, was one of the few people who could see faults in Emma Woodhouse, and the only one who ever told her of them: and though this was not particularly agreeable to Emma herself, she knew it would be so much less so to her father, that she would not have him really suspect such a circumstance as her not being thought perfect by every body."," ""Well,"" said Emma, willing to let it pass--""you want to hear about the wedding; and I shall be happy to tell you, for we all behaved charmingly. Every body was punctual, every body in their best looks: not a tear, and hardly a long face to be seen."
"Miss Taylor has been used to have two persons to please; she will now have but one. The chances are that she must be a gainer."""," ""Dear Emma bears every thing so well,"" said her father. ""But, Mr. Knightley, she is really very sorry to lose poor Miss Taylor, and I am sure she _will_ miss her more than she thinks for."""
"Every body was punctual, every body in their best looks: not a tear, and hardly a long face to be seen. Oh no; we all felt that we were going to be only half a mile apart, and were sure of meeting every day."""," Emma turned away her head, divided between tears and smiles. ""It is impossible that Emma should not miss such a companion,"" said Mr. Knightley."
"""But, Mr. Knightley, she is really very sorry to lose poor Miss Taylor, and I am sure she _will_ miss her more than she thinks for."" Emma turned away her head, divided between tears and smiles."," ""And you have forgotten one matter of joy to me,"" said Emma, ""and a very considerable one--that I made the match myself. I made the match, you know, four years ago; and to have it take place, and be proved in the right, when so many people said Mr. Weston would never marry again, may comfort me for any thing."""
"""We should not like her so well as we do, sir, if we could suppose it; but she knows how much the marriage is to Miss Taylor's advantage; she knows how very acceptable it must be, at Miss Taylor's time of life, to be settled in a home of her own, and how important to her to be secure of a comfortable provision, and therefore cannot allow herself to feel so much pain as pleasure. Every friend of Miss Taylor must be glad to have her so happily married."""," Mr. Knightley shook his head at her. Her father fondly replied, ""Ah!"
"Mr. Knightley shook his head at her. Her father fondly replied,"," ""I promise you to make none for myself, papa; but I must, indeed, for other people. It is the greatest amusement in the world!"
"my dear, I wish you would not make matches and foretell things, for whatever you say always comes to pass. Pray do not make any more matches."""," ""Ever since the day--about four years ago--that Miss Taylor and I met with him in Broadway Lane, when, because it began to drizzle, he darted away with so much gallantry, and borrowed two umbrellas for us from Farmer Mitchell's, I made up my mind on the subject. I planned the match from that hour; and when such success has blessed me in this instance, dear papa, you cannot think that I shall leave off match-making."""
"Some people even talked of a promise to his wife on her deathbed, and others of the son and the uncle not letting him. All manner of solemn nonsense was talked on the subject, but I believed none of it."""," ""I do not understand what you mean by 'success,'"" said Mr. Knightley. ""Success supposes endeavour."
"""Ever since the day--about four years ago--that Miss Taylor and I met with him in Broadway Lane, when, because it began to drizzle, he darted away with so much gallantry, and borrowed two umbrellas for us from Farmer Mitchell's, I made up my mind on the subject. I planned the match from that hour; and when such success has blessed me in this instance, dear papa, you cannot think that I shall leave off match-making."""," ""And have you never known the pleasure and triumph of a lucky guess?--I pity you.--I thought you cleverer--for, depend upon it a lucky guess is never merely luck. There is always some talent in it."
"What are you proud of? You made a lucky guess; and _that_ is all that can be said."""," ""A straightforward, open-hearted man like Weston, and a rational, unaffected woman like Miss Taylor, may be safely left to manage their own concerns. You are more likely to have done harm to yourself, than good to them, by interference."""
"If I had not promoted Mr. Weston's visits here, and given many little encouragements, and smoothed many little matters, it might not have come to any thing after all. I think you must know Hartfield enough to comprehend that."""," ""Emma never thinks of herself, if she can do good to others,"" rejoined Mr. Woodhouse, understanding but in part. ""But, my dear, pray do not make any more matches; they are silly things, and break up one's family circle grievously."""
"""A straightforward, open-hearted man like Weston, and a rational, unaffected woman like Miss Taylor, may be safely left to manage their own concerns. You are more likely to have done harm to yourself, than good to them, by interference."""," ""Only one more, papa; only for Mr. Elton. Poor Mr. Elton!"
"""Emma never thinks of herself, if she can do good to others,"" rejoined Mr. Woodhouse, understanding but in part. ""But, my dear, pray do not make any more matches; they are silly things, and break up one's family circle grievously."""," ""Mr. Elton is a very pretty young man, to be sure, and a very good young man, and I have a great regard for him. But if you want to shew him any attention, my dear, ask him to come and dine with us some day."
"There is nobody in Highbury who deserves him--and he has been here a whole year, and has fitted up his house so comfortably, that it would be a shame to have him single any longer--and I thought when he was joining their hands to-day, he looked so very much as if he would like to have the same kind office done for him! I think very well of Mr. Elton, and this is the only way I have of doing him a service."""," ""With a great deal of pleasure, sir, at any time,"" said Mr. Knightley, laughing, ""and I agree with you entirely, that it will be a much better thing. Invite him to dinner, Emma, and help him to the best of the fish and the chicken, but leave him to chuse his own wife."
"That will be a much better thing. I dare say Mr. Knightley will be so kind as to meet him.""","   CHAPTER II   Mr. Weston was a native of Highbury, and born of a respectable family, which for the last two or three generations had been rising into gentility and property. He had received a good education, but, on succeeding early in life to a small independence, had become indisposed for any of the more homely pursuits in which his brothers were engaged, and had satisfied an active, cheerful mind and social temper by entering into the militia of his county, then embodied."
"Her situation was altogether the subject of hours of gratitude to Mrs. Weston, and of moments only of regret; and her satisfaction--her more than satisfaction--her cheerful enjoyment, was so just and so apparent, that Emma, well as she knew her father, was sometimes taken by surprize at his being still able to pity 'poor Miss Taylor,' when they left her at Randalls in the centre of every domestic comfort, or saw her go away in the evening attended by her pleasant husband to a carriage of her own. But never did she go without Mr. Woodhouse's giving a gentle sigh, and saying,"," There was no recovering Miss Taylor--nor much likelihood of ceasing to pity her; but a few weeks brought some alleviation to Mr. Woodhouse. The compliments of his neighbours were over; he was no longer teased by being wished joy of so sorrowful an event; and the wedding-cake, which had been a great distress to him, was all eat up."
"He loved to have the cloth laid, because it had been the fashion of his youth, but his conviction of suppers being very unwholesome made him rather sorry to see any thing put on it; and while his hospitality would have welcomed his visitors to every thing, his care for their health made him grieve that they would eat. Such another small basin of thin gruel as his own was all that he could, with thorough self-approbation, recommend; though he might constrain himself, while the ladies were comfortably clearing the nicer things, to say:"," Emma allowed her father to talk--but supplied her visitors in a much more satisfactory style, and on the present evening had particular pleasure in sending them away happy. The happiness of Miss Smith was quite equal to her intentions."
"But the Martins occupied her thoughts a good deal; she had spent two very happy months with them, and now loved to talk of the pleasures of her visit, and describe the many comforts and wonders of the place. Emma encouraged her talkativeness--amused by such a picture of another set of beings, and enjoying the youthful simplicity which could speak with so much exultation of Mrs. Martin's having"," For some time she was amused, without thinking beyond the immediate cause; but as she came to understand the family better, other feelings arose. She had taken up a wrong idea, fancying it was a mother and daughter, a son and son's wife, who all lived together; but when it appeared that the Mr. Martin, who bore a part in the narrative, and was always mentioned with approbation for his great good-nature in doing something or other, was a single man; that there was no young Mrs. Martin, no wife in the case; she did suspect danger to her poor little friend from all this hospitality and kindness, and that, if she were not taken care of, she might be required to sink herself forever."
Not that she _wanted_ him to marry. She was in no hurry at all.," ""And when she had come away, Mrs. Martin was so very kind as to send Mrs. Goddard a beautiful goose--the finest goose Mrs. Goddard had ever seen. Mrs. Goddard had dressed it on a Sunday, and asked all the three teachers, Miss Nash, and Miss Prince, and Miss Richardson, to sup with her."""
"thought Emma. ""You know what you are about."""," ""Mr. Martin, I suppose, is not a man of information beyond the line of his own business? He does not read?"""
"""And when she had come away, Mrs. Martin was so very kind as to send Mrs. Goddard a beautiful goose--the finest goose Mrs. Goddard had ever seen. Mrs. Goddard had dressed it on a Sunday, and asked all the three teachers, Miss Nash, and Miss Prince, and Miss Richardson, to sup with her."""," ""Oh yes!--that is, no--I do not know--but I believe he has read a good deal--but not what you would think any thing of. He reads the Agricultural Reports, and some other books that lay in one of the window seats--but he reads all _them_ to himself."
"""Mr. Martin, I suppose, is not a man of information beyond the line of his own business? He does not read?"""," The next question was--  ""What sort of looking man is Mr. Martin?"""
"He had never heard of such books before I mentioned them, but he is determined to get them now as soon as ever he can."" The next question was--"," ""Oh! not handsome--not at all handsome."
"The next question was--  ""What sort of looking man is Mr. Martin?"""," ""That may be, and I may have seen him fifty times, but without having any idea of his name. A young farmer, whether on horseback or on foot, is the very last sort of person to raise my curiosity."
"He is in Highbury every now and then, and he is sure to ride through every week in his way to Kingston. He has passed you very often."""," ""To be sure. Oh yes!"
"A degree or two lower, and a creditable appearance might interest me; I might hope to be useful to their families in some way or other. But a farmer can need none of my help, and is, therefore, in one sense, as much above my notice as in every other he is below it."""," ""I have no doubt of his being a very respectable young man. I know, indeed, that he is so, and, as such, wish him well."
"Oh yes! It is not likely you should ever have observed him; but he knows you very well indeed--I mean by sight."""," ""He was four-and-twenty the 8th of last June, and my birthday is the 23rd just a fortnight and a day's difference--which is very odd."" ""Only four-and-twenty."
"I know, indeed, that he is so, and, as such, wish him well. What do you imagine his age to be?"""," ""Only four-and-twenty. That is too young to settle."
"What do you imagine his age to be?"" ""He was four-and-twenty the 8th of last June, and my birthday is the 23rd just a fortnight and a day's difference--which is very odd."""," ""Six years hence! Dear Miss Woodhouse, he would be thirty years old!"""
"They seem very comfortable as they are, and if she were to take any pains to marry him, she would probably repent it. Six years hence, if he could meet with a good sort of young woman in the same rank as his own, with a little money, it might be very desirable."""," ""Well, and that is as early as most men can afford to marry, who are not born to an independence. Mr. Martin, I imagine, has his fortune entirely to make--cannot be at all beforehand with the world."
"""Six years hence! Dear Miss Woodhouse, he would be thirty years old!"""," ""To be sure, so it is. But they live very comfortably."
"Mr. Martin, I imagine, has his fortune entirely to make--cannot be at all beforehand with the world. Whatever money he might come into when his father died, whatever his share of the family property, it is, I dare say, all afloat, all employed in his stock, and so forth; and though, with diligence and good luck, he may be rich in time, it is next to impossible that he should have realised any thing yet."""," ""I wish you may not get into a scrape, Harriet, whenever he does marry;--I mean, as to being acquainted with his wife--for though his sisters, from a superior education, are not to be altogether objected to, it does not follow that he might marry any body at all fit for you to notice. The misfortune of your birth ought to make you particularly careful as to your associates."
"But they live very comfortably. They have no indoors man, else they do not want for any thing; and Mrs. Martin talks of taking a boy another year."""," ""Yes, to be sure, I suppose there are. But while I visit at Hartfield, and you are so kind to me, Miss Woodhouse, I am not afraid of what any body can do."""
"The misfortune of your birth ought to make you particularly careful as to your associates. There can be no doubt of your being a gentleman's daughter, and you must support your claim to that station by every thing within your own power, or there will be plenty of people who would take pleasure in degrading you."""," ""You understand the force of influence pretty well, Harriet; but I would have you so firmly established in good society, as to be independent even of Hartfield and Miss Woodhouse. I want to see you permanently well connected, and to that end it will be advisable to have as few odd acquaintance as may be; and, therefore, I say that if you should still be in this country when Mr. Martin marries, I wish you may not be drawn in by your intimacy with the sisters, to be acquainted with the wife, who will probably be some mere farmer's daughter, without education."""
"""Yes, to be sure, I suppose there are. But while I visit at Hartfield, and you are so kind to me, Miss Woodhouse, I am not afraid of what any body can do."""," ""To be sure. Yes."
"""You understand the force of influence pretty well, Harriet; but I would have you so firmly established in good society, as to be independent even of Hartfield and Miss Woodhouse. I want to see you permanently well connected, and to that end it will be advisable to have as few odd acquaintance as may be; and, therefore, I say that if you should still be in this country when Mr. Martin marries, I wish you may not be drawn in by your intimacy with the sisters, to be acquainted with the wife, who will probably be some mere farmer's daughter, without education."""," Emma watched her through the fluctuations of this speech, and saw no alarming symptoms of love. The young man had been the first admirer, but she trusted there was no other hold, and that there would be no serious difficulty, on Harriet's side, to oppose any friendly arrangement of her own."
"Mr. Martin looked as if he did not know what manner was. They remained but a few minutes together, as Miss Woodhouse must not be kept waiting; and Harriet then came running to her with a smiling face, and in a flutter of spirits, which Miss Woodhouse hoped very soon to compose."," ""He is very plain, undoubtedly--remarkably plain:--but that is nothing compared with his entire want of gentility. I had no right to expect much, and I did not expect much; but I had no idea that he could be so very clownish, so totally without air."
"What do you think of him? Do you think him so very plain?"""," ""To be sure,"" said Harriet, in a mortified voice, ""he is not so genteel as real gentlemen."" ""I think, Harriet, since your acquaintance with us, you have been repeatedly in the company of some such very real gentlemen, that you must yourself be struck with the difference in Mr. Martin."
"I had no right to expect much, and I did not expect much; but I had no idea that he could be so very clownish, so totally without air. I had imagined him, I confess, a degree or two nearer gentility."""," ""I think, Harriet, since your acquaintance with us, you have been repeatedly in the company of some such very real gentlemen, that you must yourself be struck with the difference in Mr. Martin. At Hartfield, you have had very good specimens of well educated, well bred men."
"I had imagined him, I confess, a degree or two nearer gentility."" ""To be sure,"" said Harriet, in a mortified voice, ""he is not so genteel as real gentlemen."""," ""Certainly, he is not like Mr. Knightley. He has not such a fine air and way of walking as Mr. Knightley."
"Were not you struck? I am sure you must have been struck by his awkward look and abrupt manner, and the uncouthness of a voice which I heard to be wholly unmodulated as I stood here."""," ""Mr. Knightley's air is so remarkably good that it is not fair to compare Mr. Martin with _him_. You might not see one in a hundred with _gentleman_ so plainly written as in Mr. Knightley."
"I see the difference plain enough. But Mr. Knightley is so very fine a man!"""," ""Oh yes!--there is a great difference. But Mr. Weston is almost an old man."
"Compare their manner of carrying themselves; of walking; of speaking; of being silent. You must see the difference."""," ""Which makes his good manners the more valuable. The older a person grows, Harriet, the more important it is that their manners should not be bad; the more glaring and disgusting any loudness, or coarseness, or awkwardness becomes."
"But Mr. Weston is almost an old man. Mr. Weston must be between forty and fifty."""," ""There is no saying, indeed,"" replied Harriet rather solemnly. ""But there may be pretty good guessing."
"What is passable in youth is detestable in later age. Mr. Martin is now awkward and abrupt; what will he be at Mr. Weston's time of life?""","replied Harriet rather solemnly. ""But there may be pretty good guessing."
"Mr. Martin is now awkward and abrupt; what will he be at Mr. Weston's time of life?"" ""There is no saying, indeed,"" replied Harriet rather solemnly."," ""Will he, indeed? That will be very bad."""
"""But there may be pretty good guessing. He will be a completely gross, vulgar farmer, totally inattentive to appearances, and thinking of nothing but profit and loss."""," ""How much his business engrosses him already is very plain from the circumstance of his forgetting to inquire for the book you recommended. He was a great deal too full of the market to think of any thing else--which is just as it should be, for a thriving man."
"""Will he, indeed? That will be very bad."""," ""I wonder he did not remember the book""--was all Harriet's answer, and spoken with a degree of grave displeasure which Emma thought might be safely left to itself. She, therefore, said no more for some time."
"What has he to do with books? And I have no doubt that he _will_ thrive, and be a very rich man in time--and his being illiterate and coarse need not disturb _us_.""","-was all Harriet's answer, and spoken with a degree of grave displeasure which Emma thought might be safely left to itself. She, therefore, said no more for some time."
"She, therefore, said no more for some time. Her next beginning was,"," She then repeated some warm personal praise which she had drawn from Mr. Elton, and now did full justice to; and Harriet blushed and smiled, and said she had always thought Mr. Elton very agreeable. Mr. Elton was the very person fixed on by Emma for driving the young farmer out of Harriet's head."
"He was reckoned very handsome; his person much admired in general, though not by her, there being a want of elegance of feature which she could not dispense with:--but the girl who could be gratified by a Robert Martin's riding about the country to get walnuts for her might very well be conquered by Mr. Elton's admiration. CHAPTER V"," ""A bad thing! Do you really think it a bad thing?--why so?"""
"He was reckoned very handsome; his person much admired in general, though not by her, there being a want of elegance of feature which she could not dispense with:--but the girl who could be gratified by a Robert Martin's riding about the country to get walnuts for her might very well be conquered by Mr. Elton's admiration. CHAPTER V   ""I do not know what your opinion may be, Mrs. Weston,"" said Mr. Knightley, ""of this great intimacy between Emma and Harriet Smith, but I think it a bad thing."""," ""I think they will neither of them do the other any good."" ""You surprize me!"
"""A bad thing! Do you really think it a bad thing?--why so?"""," ""You surprize me! Emma must do Harriet good: and by supplying her with a new object of interest, Harriet may be said to do Emma good."
"Do you really think it a bad thing?--why so?"" ""I think they will neither of them do the other any good."""," ""Perhaps you think I am come on purpose to quarrel with you, knowing Weston to be out, and that you must still fight your own battle."" ""Mr. Weston would undoubtedly support me, if he were here, for he thinks exactly as I do on the subject."
"This will certainly be the beginning of one of our quarrels about Emma, Mr. Knightley."""," ""Mr. Weston would undoubtedly support me, if he were here, for he thinks exactly as I do on the subject. We were speaking of it only yesterday, and agreeing how fortunate it was for Emma, that there should be such a girl in Highbury for her to associate with."
"Knightley."" ""Perhaps you think I am come on purpose to quarrel with you, knowing Weston to be out, and that you must still fight your own battle."""," ""Emma has been meaning to read more ever since she was twelve years old. I have seen a great many lists of her drawing-up at various times of books that she meant to read regularly through--and very good lists they were--very well chosen, and very neatly arranged--sometimes alphabetically, and sometimes by some other rule."
"They will read together. She means it, I know."""," ""I dare say,"" replied Mrs. Weston, smiling, ""that I thought so _then_;--but since we have parted, I can never remember Emma's omitting to do any thing I wished."" ""There is hardly any desiring to refresh such a memory as _that_,""--said Mr. Knightley, feelingly; and for a moment or two he had done."
"She will never submit to any thing requiring industry and patience, and a subjection of the fancy to the understanding. Where Miss Taylor failed to stimulate, I may safely affirm that Harriet Smith will do nothing.--You never could persuade her to read half so much as you wished.--You know you could not."""," ""There is hardly any desiring to refresh such a memory as _that_,""--said Mr. Knightley, feelingly; and for a moment or two he had done. ""But I,""  he soon added, ""who have had no such charm thrown over my senses, must still see, hear, and remember."
"Where Miss Taylor failed to stimulate, I may safely affirm that Harriet Smith will do nothing.--You never could persuade her to read half so much as you wished.--You know you could not."" ""I dare say,"" replied Mrs. Weston, smiling, ""that I thought so _then_;--but since we have parted, I can never remember Emma's omitting to do any thing I wished.""","-said Mr. Knightley, feelingly; and for a moment or two he had done. ""But I,""  he soon added, ""who have had no such charm thrown over my senses, must still see, hear, and remember."
"""I dare say,"" replied Mrs. Weston, smiling, ""that I thought so _then_;--but since we have parted, I can never remember Emma's omitting to do any thing I wished."" ""There is hardly any desiring to refresh such a memory as _that_,""--said Mr. Knightley, feelingly; and for a moment or two he had done."," ""I should have been sorry, Mr. Knightley, to be dependent on _your_ recommendation, had I quitted Mr. Woodhouse's family and wanted another situation; I do not think you would have spoken a good word for me to any body. I am sure you always thought me unfit for the office I held."""
"In her mother she lost the only person able to cope with her. She inherits her mother's talents, and must have been under subjection to her."""," ""Yes,"" said he, smiling. ""You are better placed _here_; very fit for a wife, but not at all for a governess."
"""I should have been sorry, Mr. Knightley, to be dependent on _your_ recommendation, had I quitted Mr. Woodhouse's family and wanted another situation; I do not think you would have spoken a good word for me to any body. I am sure you always thought me unfit for the office I held."""," ""Thank you. There will be very little merit in making a good wife to such a man as Mr."
"But you were preparing yourself to be an excellent wife all the time you were at Hartfield. You might not give Emma such a complete education as your powers would seem to promise; but you were receiving a very good education from _her_, on the very material matrimonial point of submitting your own will, and doing as you were bid; and if Weston had asked me to recommend him a wife, I should certainly have named Miss Taylor."""," ""Why, to own the truth, I am afraid you are rather thrown away, and that with every disposition to bear, there will be nothing to be borne. We will not despair, however."
"There will be very little merit in making a good wife to such a man as Mr. Weston."""," ""I hope not _that_.--It is not likely. No, Mr. Knightley, do not foretell vexation from that quarter."""
"We will not despair, however. Weston may grow cross from the wantonness of comfort, or his son may plague him."""," ""Not I, indeed. I only name possibilities."
"""I hope not _that_.--It is not likely. No, Mr. Knightley, do not foretell vexation from that quarter."""," ""I either depend more upon Emma's good sense than you do, or am more anxious for her present comfort; for I cannot lament the acquaintance. How well she looked last night!"""
"She will grow just refined enough to be uncomfortable with those among whom birth and circumstances have placed her home. I am much mistaken if Emma's doctrines give any strength of mind, or tend at all to make a girl adapt herself rationally to the varieties of her situation in life.--They only give a little polish."""," ""Oh! you would rather talk of her person than her mind, would you?"
"""I either depend more upon Emma's good sense than you do, or am more anxious for her present comfort; for I cannot lament the acquaintance. How well she looked last night!"""," ""Pretty! say beautiful rather."
"you would rather talk of her person than her mind, would you? Very well; I shall not attempt to deny Emma's being pretty."""," ""I do not know what I could imagine, but I confess that I have seldom seen a face or figure more pleasing to me than hers. But I am a partial old friend."""
"say beautiful rather. Can you imagine any thing nearer perfect beauty than Emma altogether--face and figure?"""," ""Such an eye!--the true hazle eye--and so brilliant! regular features, open countenance, with a complexion!"
"""I do not know what I could imagine, but I confess that I have seldom seen a face or figure more pleasing to me than hers. But I am a partial old friend."""," ""I have not a fault to find with her person,"" he replied. ""I think her all you describe."
"She is loveliness itself. Mr. Knightley, is not she?"""," ""And I, Mr. Knightley, am equally stout in my confidence of its not doing them any harm. With all dear Emma's little faults, she is an excellent creature."
"Considering how very handsome she is, she appears to be little occupied with it; her vanity lies another way. Mrs. Weston, I am not to be talked out of my dislike of Harriet Smith, or my dread of its doing them both harm."""," ""Very well; I will not plague you any more. Emma shall be an angel, and I will keep my spleen to myself till Christmas brings John and Isabella."
"Where shall we see a better daughter, or a kinder sister, or a truer friend? No, no; she has qualities which may be trusted; she will never lead any one really wrong; she will make no lasting blunder; where Emma errs once, she is in the right a hundred times."""," ""I know that you all love her really too well to be unjust or unkind; but excuse me, Mr. Knightley, if I take the liberty (I consider myself, you know, as having somewhat of the privilege of speech that Emma's mother might have had) the liberty of hinting that I do not think any possible good can arise from Harriet Smith's intimacy being made a matter of much discussion among you. Pray excuse me; but supposing any little inconvenience may be apprehended from the intimacy, it cannot be expected that Emma, accountable to nobody but her father, who perfectly approves the acquaintance, should put an end to it, so long as it is a source of pleasure to herself."
"John loves Emma with a reasonable and therefore not a blind affection, and Isabella always thinks as he does; except when he is not quite frightened enough about the children. I am sure of having their opinions with me."""," ""Not at all,"" cried he; ""I am much obliged to you for it. It is very good advice, and it shall have a better fate than your advice has often found; for it shall be attended to."""
"Pray excuse me; but supposing any little inconvenience may be apprehended from the intimacy, it cannot be expected that Emma, accountable to nobody but her father, who perfectly approves the acquaintance, should put an end to it, so long as it is a source of pleasure to herself. It has been so many years my province to give advice, that you cannot be surprized, Mr. Knightley, at this little remains of office."""," ""Mrs. John Knightley is easily alarmed, and might be made unhappy about her sister."" ""Be satisfied,"" said he, ""I will not raise any outcry."
"""Not at all,"" cried he; ""I am much obliged to you for it. It is very good advice, and it shall have a better fate than your advice has often found; for it shall be attended to."""," ""Be satisfied,"" said he, ""I will not raise any outcry. I will keep my ill-humour to myself."
"It is very good advice, and it shall have a better fate than your advice has often found; for it shall be attended to."" ""Mrs. John Knightley is easily alarmed, and might be made unhappy about her sister."""," ""So do I,"" said Mrs. Weston gently, ""very much."" ""She always declares she will never marry, which, of course, means just nothing at all."
"There is an anxiety, a curiosity in what one feels for Emma. I wonder what will become of her!"""," ""She always declares she will never marry, which, of course, means just nothing at all. But I have no idea that she has yet ever seen a man she cared for."
"I wonder what will become of her!"" ""So do I,"" said Mrs. Weston gently, ""very much."""," ""There does, indeed, seem as little to tempt her to break her resolution at present,"" said Mrs. Weston, ""as can well be; and while she is so happy at Hartfield, I cannot wish her to be forming any attachment which would be creating such difficulties on poor Mr. Woodhouse's account. I do not recommend matrimony at present to Emma, though I mean no slight to the state, I assure you."""
"I should like to see Emma in love, and in some doubt of a return; it would do her good. But there is nobody hereabouts to attach her; and she goes so seldom from home."""," Part of her meaning was to conceal some favourite thoughts of her own and Mr. Weston's on the subject, as much as possible. There were wishes at Randalls respecting Emma's destiny, but it was not desirable to have them suspected; and the quiet transition which Mr. Knightley soon afterwards made to ""What does Weston think of the weather; shall we have rain?"""
